9	34767
20	79420
38	403826
55	668855
67	1062486
86	1640106
113	2319777
142	3230784
172	4270416
213	5577618
223	7560815
237	8177211
258	10414686
274	11425800
293	12320650
326	13710256
382	20362128
438	26511264
558	35463690
616	40213096
676	45171672
740	50265240
809	55037079
882	60004224
957	70195950
1036	78363040
1156	87440996
